activity_type,activity_date,Title,distance_km,Calories,activity_time,avg_hr,max_hr,aerobic_te,avg_pace,best_pace,Distance,avg_resp
Running,2023-11-11,"Bexar County Running",10.00,605,1:10:01,150,164,3.3,7:00,5:33,NULL,31
Running,2023-11-08,"Bexar County - W03D3-Intervals",6.01,364,0:38:21,165,202,3.8,6:23,4:19,NULL,31
Running,2023-11-06,"Bexar County - Base",5.00,310,0:32:16,156,177,3.2,6:27,5:24,NULL,31
Running,2023-11-04,"Bexar County - Base",10.00,637,1:03:58,168,190,4.2,6:24,5:32,NULL,33
Yoga,2023-11-04,Yoga,0.00,104,0:40:07,92,121,0.2,,,NULL,17
Running,2023-11-01,"Bexar County Running",5.01,298,0:33:04,153,171,3.1,6:36,5:56,NULL,29
Running,2023-10-31,"Bexar County - W01D2-Easy Run",5.20,312,0:35:16,148,166,3.0,6:47,6:05,NULL,29
Running,2023-10-28,"Bexar County Running",5.53,348,0:35:09,165,191,3.5,6:21,5:23,NULL,32
Running,2023-10-22,"Bexar County Running",7.01,465,0:48:00,170,194,3.7,6:51,5:58,NULL,33
Running,2023-10-18,"Bexar County Running",4.00,250,0:26:39,152,173,3.0,6:40,6:12,NULL,32
Running,2023-10-14,"Bexar County Running",6.01,381,0:41:29,158,186,3.3,6:54,5:41,NULL,31
Walking,2023-10-11,"Bexar County Walking",1.23,69,0:18:26,96,115,0.3,15:00,11:01,NULL,0
Walking,2023-10-11,"Bexar County Walking",0.50,33,0:07:48,103,116,0.2,15:45,11:06,NULL,0
Running,2023-10-11,"Bexar County Running",5.00,307,0:33:30,153,177,3.1,6:42,5:26,NULL,30
Yoga,2023-10-10,Yoga,0.00,23,0:08:48,90,106,0.1,,,NULL,14
Walking,2023-10-10,"Bexar County Walking",1.36,77,0:25:33,84,108,0.2,18:45,6:44,NULL,0
Walking,2023-10-09,"Bexar County Walking",0.75,56,0:13:33,104,124,0.3,18:02,9:36,NULL,0
Running,2023-10-09,"Bexar County Running",3.23,199,0:21:14,157,183,2.9,6:34,5:20,NULL,30
Walking,2023-10-07,"Laredo Walking",1.49,90,0:21:47,111,126,0.4,14:40,10:20,NULL,0
Running,2023-10-07,"Bexar County Running",6.00,389,0:41:30,160,185,3.3,6:55,5:36,NULL,32
Walking,2023-10-06,"Bexar County Walking",1.27,70,0:18:19,99,112,0.3,14:24,11:27,NULL,0
"Strength Training",2023-10-06,Strength,0.00,135,0:30:26,110,146,0.8,,,NULL,0
Walking,2023-10-05,"Bexar County Walking",2.05,112,0:30:11,90,108,0.5,14:43,10:20,NULL,0
Walking,2023-10-04,"Bexar County Walking",0.70,47,0:10:07,123,137,0.3,14:31,7:44,NULL,23
Running,2023-10-04,"Bexar County Running",4.00,258,0:28:30,162,190,3.0,7:08,6:02,NULL,31
Walking,2023-10-03,"Bexar County Walking",1.80,114,0:27:51,116,131,0.5,15:29,11:06,NULL,0
"Strength Training",2023-10-03,Strength,0.00,297,0:45:33,136,177,2.6,,,NULL,0
Walking,2023-10-02,"Bexar County Walking",1.23,68,0:17:21,98,115,0.3,14:06,8:03,NULL,0
Running,2023-10-02,"Bexar County Running",4.04,251,0:29:03,149,173,2.7,7:12,5:58,NULL,30
Yoga,2023-10-01,Yoga,0.00,35,0:10:33,98,115,0.1,,,NULL,18
Walking,2023-10-01,"Bexar County Walking",1.62,104,0:28:09,95,108,0.4,17:24,9:15,NULL,0
Walking,2023-09-30,"Bexar County Walking",1.68,101,0:24:05,106,129,0.5,14:19,8:26,NULL,0
Walking,2023-09-29,"Bexar County Walking",2.90,162,0:40:38,104,120,0.7,14:01,9:55,NULL,0
Walking,2023-09-27,"Bexar County Walking",1.24,67,0:16:39,98,117,0.3,13:25,9:42,NULL,0
"Strength Training",2023-09-27,Strength,0.00,183,0:32:48,120,155,1.7,,,NULL,0
Walking,2023-09-26,"Bexar County Walking",1.66,90,0:22:21,97,110,0.4,13:26,9:42,NULL,0
Walking,2023-09-25,"Bexar County Walking",1.57,85,0:21:05,95,111,0.4,13:25,9:21,NULL,0
"Strength Training",2023-09-25,Strength,0.00,121,0:31:18,103,141,0.5,,,NULL,0
Walking,2023-09-24,"Boerne Walking",2.64,155,0:35:19,115,135,0.8,13:23,8:12,NULL,0
Walking,2023-09-22,"Bexar County Walking",1.95,116,0:28:39,119,137,0.6,14:41,4:03,NULL,0
Walking,2023-09-20,"Bexar County Walking",1.60,87,0:23:44,99,112,0.3,14:52,10:31,NULL,0
"Strength Training",2023-09-20,Strength,0.00,106,0:30:08,99,138,0.4,,,NULL,0
Walking,2023-09-19,"Bexar County Walking",2.35,120,0:32:50,89,104,0.5,13:59,9:27,NULL,0
Walking,2023-09-18,"Bexar County Walking",2.54,141,0:35:58,101,121,0.6,14:09,8:09,NULL,0
"Strength Training",2023-09-18,Strength,0.00,251,0:47:47,120,154,1.6,,,NULL,0
Cycling,2023-09-17,"Bexar County Cycling",3.36,89,0:28:36,97,124,0.3,7,28.3,NULL,0
Walking,2023-09-17,"Bexar County Walking",1.88,101,0:27:25,93,112,0.3,14:36,9:59,NULL,0
Walking,2023-09-16,"Bexar County Walking",1.23,74,0:17:39,110,123,0.4,14:22,10:20,NULL,0
"Strength Training",2023-09-16,Strength,0.00,143,0:25:51,120,148,1.1,,,NULL,0
Walking,2023-09-15,"Bexar County Walking",1.67,97,0:25:03,99,114,0.4,14:58,9:52,NULL,0
Walking,2023-09-15,"Bexar County Walking",1.22,68,0:16:11,105,120,0.4,13:16,9:33,NULL,0
Walking,2023-09-14,"Bexar County Walking",1.55,84,0:21:02,98,111,0.4,13:36,10:20,NULL,0
Walking,2023-09-13,"Bexar County Walking",2.04,108,0:30:12,88,109,0.4,14:49,9:01,NULL,0
"Strength Training",2023-09-13,Strength,0.00,213,0:32:32,131,177,2.2,,,NULL,0
Walking,2023-09-12,"Bexar County Walking",1.44,82,0:21:24,96,112,0.3,14:49,8:09,NULL,0
